AGENCY_AREA,CATCHMENT,WATERBODY_TYPE,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,SLOPE,DIST_FROM_SOURCE,SOURCE_ALTITUDE,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_MPHYTE
SOUTHERN - KENT & E. SUSSEX,EAST ROTHER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KENT ROTHER,43355,2,TQ,78330,25300,TQ7833025300,578330,125300,GB107040013640,0.3,31.300,167.0,97.2,01/01/1995,15/08/2005,15/08/2016,5,False
SOUTHERN - KENT & E. SUSSEX,GREAT STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOUTH STREAM,43385,2,TR,34196,53835,TR3419653835,634196,153835,GB107040019720,0.2,2.100,63.0,246.0,01/01/2010,18/06/2010,24/08/2016,3,False
MIDLANDS - CENTRAL,REA (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,REA,47198,2,SP,02592,78853,SP0259278853,402592,278853,GB104028042510,5.3,5.800,,121.9,01/01/1995,01/09/2011,01/09/2011,1,False
MIDLANDS - CENTRAL,BLITHE (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLITHE,50031,2,SK,04887,25916,SK0488725916,404887,325916,GB104028052290,2.3,28.900,200.0,161.4,01/01/1995,09/07/2003,19/06/2013,4,False
MIDLANDS - CENTRAL,SENCE (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SENCE(ANKER),50034,2,SK,38095,08805,SK3809508805,438095,308805,GB104028046750,3.3,11.000,189.0,143.2,01/03/2013,24/07/2012,17/06/2013,2,False
MIDLANDS - WEST,REA (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MILL BROOK,50090,2,SO,65400,71400,SO6540071400,365400,271400,GB109054044250,4.0,10.800,322.0,141.0,12/03/2013,30/08/2013,30/08/2013,1,False
MIDLANDS - CENTRAL,TAME (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TAME (UT),47255,2,SP,16915,91464,SP1691591464,416915,291464,GB104028046840,3.3,34.200,158.9,169.5,01/01/1995,19/07/2005,10/07/2013,3,False
SOUTHERN - KENT & E. SUSSEX,DARENT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DARENT,43540,2,TQ,55199,72129,TQ5519972129,555199,172129,GB106040024222,1.0,32.000,164.0,180.0,04/10/2012,16/07/2008,29/06/2021,2,False
MIDLANDS - CENTRAL,LEAM (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ITCHEN (WARWICKSHIRE),47382,2,SP,40990,65060,SP4099065060,440990,265060,GB109054044110,1.1,22.100,,185.3,01/01/1995,14/08/2012,14/08/2012,1,False
SOUTHERN - KENT & E. SUSSEX,EDEN (KENT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EDEN BROOK TRIB,43591,2,TQ,37751,45571,TQ3775145571,537751,145571,GB106040018650,1.4,5.300,70.0,167.2,01/01/1995,08/08/2012,05/08/2014,2,False
MIDLANDS - CENTRAL,TEAN (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TEAN,47469,2,SK,00814,39526,SK0081439526,400814,339526,GB104028052450,4.3,10.200,,131.3,01/01/1995,03/07/2012,03/07/2012,1,False
MIDLANDS - EAST,IDLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,IDLE,50294,2,SK,76466,96231,SK7646696231,476466,396231,GB104028058110,0.2,87.300,22.0,186.7,01/01/1995,23/06/1995,29/08/2018,12,False
MIDLANDS - EAST,SOAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACK BROOK,48920,2,SK,47430,20150,SK4743020150,447430,320150,GB104028047070,5.0,9.100,106.0,173.5,01/01/1995,18/06/2013,08/07/2019,2,False
SOUTHERN - KENT & E. SUSSEX,GREAT STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PENFIELD SEWER,43754,2,TR,35145,55571,TR3514555571,635145,155571,GB107040019550,0.2,10.700,63.0,,,20/08/2013,20/08/2013,1,False
SOUTHERN - KENT & E. SUSSEX,TEISE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TEISE,43781,2,TQ,71418,43919,TQ7141843919,571418,143919,GB106040018130,1.1,26.800,,60.0,01/01/2010,31/07/2012,31/07/2012,1,False
MIDLANDS - EAST,TRENT (LOWER),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TRENT,49039,2,SK,47097,31140,SK4709731140,447097,331140,GB104028053120,0.5,139.800,100.0,147.2,01/01/1995,20/09/2013,07/08/2014,2,False
MIDLANDS - EAST,WREAKE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EYE,49040,2,SK,82114,19423,SK8211419423,482114,319423,GB104028047610,2.9,11.800,119.0,196.1,01/01/1995,18/06/2008,14/08/2013,2,False
SOUTHERN - KENT & E. SUSSEX,DARENT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CRAY,43811,2,TQ,50350,74200,TQ5035074200,550350,174200,GB106040024150,3.0,8.300,50.0,244.0,01/01/2014,07/08/2012,15/07/2015,2,False
MIDLANDS - CENTRAL,MEASE (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GILWISKAW BROOK,47720,2,SK,35459,18150,SK3545918150,435459,318150,GB104028046590,10.0,1.200,,205.6,01/01/1995,10/08/2011,10/08/2011,1,False
MIDLANDS - WEST,REA BROOK (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,REA BROOK (SHROPS),50529,2,SJ,38317,06439,SJ3831706439,338317,306439,GB109054049540,1.8,14.400,110.0,137.3,01/01/1995,24/07/2013,24/07/2013,1,False
MIDLANDS - WEST,AVON (BELOW BIDFORD) (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CARRANT BROOK,50544,2,SO,91850,34850,SO9185034850,391850,234850,GB109054039850,2.1,11.300,200.0,257.2,27/02/2013,16/09/2011,16/09/2011,1,False
SOUTHERN - KENT & E. SUSSEX,GREAT STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DOUR,43936,2,TR,29500,43400,TR2950043400,629500,143400,GB107040073310,6.0,2.640,39.0,241.0,01/09/2019,27/08/2014,13/06/2018,3,False
MIDLANDS - EAST,MAUN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BEVERCOTES BECK,50623,2,SK,70111,73091,SK7011173091,470111,373091,GB104028058070,1.6,9.500,47.0,185.1,01/01/1995,14/09/1994,09/07/2015,3,False
SOUTHERN - KENT & E. SUSSEX,ROYAL MILITARY CANAL (1),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FIVE WATERING SEWER,44243,2,TQ,96067,27086,TQ9606727086,596067,127086,GB107040013670,0.1,4.900,,,,16/08/2011,16/08/2011,1,False
ANGLIAN - EASTERN,BURE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BURE,147046,1,TG,26584,19977,TG2658419977,626584,319977,GB105034050930,1.7,39.000,75.0,213.0,04/10/2012,06/07/1999,16/08/2018,20,True
ANGLIAN - CENTRAL,IVEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,133361,1,TL,18900,38500,TL1890038500,518900,238500,GB105033037760,,,,,,23/08/2005,05/07/2013,4,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ODNEY WEIR STREAM,142689,1,SU,90513,85434,SU9051385434,490513,185434,GB106039023233,0.3,186.000,217.0,217.0,04/10/2012,18/07/2006,17/09/2012,4,False
MIDLANDS - WEST,WYE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WORM BROOK,46019,2,SO,48350,31130,SO4835031130,348350,231130,GB109055036840,5.0,1.800,,,,09/06/2009,09/06/2009,1,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THAM,133688,1,TF,00306,18107,TF0030618107,500306,318107,GB105031050650,7.0,9.200,115.0,224.0,06/02/2014,18/08/2005,15/07/2015,3,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WELLAND,143008,1,SK,99031,03595,SK9903103595,499031,303595,GB105031050580,,,,,,29/08/2006,29/08/2006,1,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GWASH,143009,1,SK,99000,09398,SK9900009398,499000,309398,GB105031050610,,,,,,06/09/2006,06/09/2006,1,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,UPPER WITHAM,143011,1,SK,92029,62870,SK9202962870,492029,362870,GB105030056780,0.2,68.250,130.0,215.0,06/02/2014,23/08/2006,18/09/2020,5,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WEST GLEN,143013,1,TF,01949,17542,TF0194917542,501949,317542,GB105031050770,,,,,,23/07/2006,23/08/2006,2,False
SOUTH WEST - NORTH WESSEX,BRISTOL AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BRISTOL AVON,147540,1,ST,91813,70934,ST9181370934,391813,170934,GB109053027440,,,,,,20/07/2006,20/07/2006,1,False
ANGLIAN - EASTERN,THURNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THURNE,147785,1,TG,44625,19580,TG4462519580,644625,319580,GB105034051360,0.2,7.000,4.0,166.0,04/10/2012,24/08/2007,22/07/2016,4,False
ANGLIAN - EASTERN,CHELMER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHELMER,147839,1,TL,70730,12700,TL7073012700,570730,212700,GB105037033950,2.4,34.000,115.0,204.0,06/12/2013,30/07/2008,09/07/2015,3,False
ANGLIAN - CENTRAL,OLD WEST RIVER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WILLINGHAM LODE,147943,1,TL,38429,70987,TL3842970987,538429,270987,GB105033043370,,,,,,19/06/2008,21/06/2013,4,False
ANGLIAN - CENTRAL,OLD WEST RIVER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WILLINGHAM LODE,147944,1,TL,38893,70883,TL3889370883,538893,270883,GB105033043370,,,,,,19/06/2008,21/06/2013,4,False
ANGLIAN - CENTRAL,CAM (2),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAM,147949,1,TL,47410,50241,TL4741050241,547410,250241,GB105033037590,,,,,,11/08/2015,11/08/2015,1,False
THAMES - WEST,PANG AND SUL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PANG,135537,1,SU,63696,75775,SU6369675775,463696,175775,GB106039023300,1.5,22.600,95.0,221.0,01/02/2013,16/08/2005,06/08/2020,5,False
ANGLIAN - NORTHERN,EAST LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LONG EAU,144222,1,TF,40123,85384,TF4012385384,540123,385384,GB105029061670,,,,,,03/09/2007,03/09/2007,1,False
MIDLANDS - WEST,WYE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LUGG,92760,2,SO,50713,58546,SO5071358546,350713,258546,GB109055042030,,,,,,22/08/1996,23/08/2007,11,False
ANGLIAN - EASTERN,MUN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MUN,144887,1,TG,28918,36694,TG2891836694,628918,336694,GB105034055900,2.5,4.800,40.0,183.3,05/03/2014,27/07/2006,23/07/2014,3,False
ANGLIAN - CENTRAL,MIDDLE LEVELS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HIGHLODE,144989,1,TL,28518,86073,TL2851886073,528518,286073,GB105033043140,,,,,,03/07/2006,26/07/2012,4,False
SOUTH WEST - CORNWALL,TAMAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TAMAR,145131,1,SS,28040,14070,SS2804014070,228040,114070,GB108047013920,13.0,3.300,220.0,27.0,04/10/2012,19/09/2007,19/09/2007,1,False
THAMES - NORTH EAST,BEANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BEANE,188833,1,TL,29245,26514,TL2924526514,529245,226514,GB106038033310,,,,,,24/06/2015,15/06/2018,4,False
THAMES - NORTH EAST,BEANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BEANE,188836,1,TL,28027,23317,TL2802723317,528027,223317,GB106038033310,,,,,,24/06/2015,01/06/2017,3,False
SOUTH WEST - NORTH WESSEX,AXE (N WESSEX),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHEDDAR YEO,145761,1,ST,44628,52735,ST4462852735,344628,152735,GB109052021540,,,,,,30/08/2006,28/08/2008,5,False
SOUTH WEST - NORTH WESSEX,KENN/LAND YEO,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LAND YEO,201991,1,ST,42522,71222,ST4252271222,342522,171222,GB109052021660,,,,,,15/07/2021,15/07/2021,1,False
MIDLANDS - WEST,TRENT TO MEASE (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SWARBOURN (TRENT TO MEASE),202091,1,SK,14984,24496,SK1498424496,414984,324496,GB104028047400,8.3,2.900,130.0,,,17/09/2021,17/09/2021,1,False
ANGLIAN - CENTRAL,TOVE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SHUTLANGER BROOK,161029,1,SP,72268,49430,SP7226849430,472268,249430,GB105033038270,7.6,9.000,110.0,234.2,27/01/2014,02/07/2013,25/08/2016,2,False
MIDLANDS - WEST,TEAN (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOBBERLEY BROOK,202097,1,SK,01509,44027,SK0150944027,401509,344027,GB104028053100,5.3,4.200,203.0,,,13/08/2021,13/08/2021,1,False
MIDLANDS - CENTRAL,AVON (SOWE-BIDFORD) (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,AVON (LS  - SOWE TO BIDFORD),161044,1,SP,21306,55982,SP2130655982,421306,255982,GB109054044402,0.9,84.600,176.7,193.2,01/03/2013,08/08/2013,11/07/2014,2,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CRINGLE BROOK,145805,1,SK,92100,28900,SK9210028900,492100,328900,GB105030051590,,,,,,21/09/2001,03/09/2005,2,False
SOUTH WEST - DEVON,DART,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HEMS,161075,1,SX,81211,62584,SX8121162584,281211,062584,GB108046005430,,,,173.0,09/12/2013,01/07/2015,01/07/2015,1,False
ANGLIAN - EASTERN,DEBEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DEBEN,161076,1,TM,17600,62800,TM1760062800,617600,262800,GB105035046200,2.6,4.500,54.0,267.0,28/01/2014,24/07/2013,24/07/2013,1,False
ANGLIAN - EASTERN,BLYTH (ANGLIAN - EASTERN),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLYTH,149956,1,TM,40620,76900,TM4062076900,640620,276900,GB105035046290,3.2,16.500,58.0,269.1,05/03/2014,27/07/2005,07/08/2015,3,False
ANGLIAN - EASTERN,DEBEN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DEBEN,149959,1,TM,23800,60300,TM2380060300,623800,260300,GB105035046310,1.1,13.500,54.0,271.0,05/03/2014,04/08/2005,04/08/2016,3,False
ANGLIAN - EASTERN,WENSUM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TUD,149968,1,TG,09750,11825,TG0975011825,609750,311825,GB105034051000,2.0,13.000,50.0,291.6,05/03/2014,08/08/2007,16/07/2015,3,False
ANGLIAN - EASTERN,WENSUM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WENSUM,149969,1,TF,89315,30321,TF8931530321,589315,330321,GB105034055881,1.6,14.000,60.0,239.0,04/10/2012,31/07/2007,15/07/2016,4,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LAMBOURN,150061,1,SU,45213,69365,SU4521369365,445213,169365,GB106039023220,1.7,20.300,130.0,210.0,01/01/2011,27/07/2011,12/08/2020,4,False
SOUTH WEST - NORTH WESSEX,SOMERSET FROME/MELLS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOMERSET FROME,142135,1,ST,80748,55957,ST8074855957,380748,155957,GB109053021840,2.5,27.200,142.0,210.0,04/10/2012,06/06/2006,14/07/2015,4,False
SOUTH WEST - DEVON,EXE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SHUTTERN BROOK,202559,1,SX,88196,98075,SX8819698075,288196,098075,GB108045009070,,,,,,23/08/2021,23/08/2021,1,False
SOUTH WEST - DEVON,EXE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CLYST RIVER,202565,1,ST,04358,01943,ST0435801943,304358,101943,GB108045008860,,,,,,20/07/2021,20/07/2021,1,False
ANGLIAN - EASTERN,COLNE (ANGLIAN),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COLNE,146522,1,TL,86707,28871,TL8670728871,586707,228871,GB105037041330,1.6,24.500,104.0,216.0,04/10/2012,15/07/2004,17/09/2018,9,False
ANGLIAN - NORTHERN,WELLAND,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WELLAND,132282,1,TF,00879,06229,TF0087906229,500879,306229,GB105031050580,,,,,,21/07/2005,21/07/2005,1,False
SOUTH WEST - NORTH WESSEX,BRUE/HARTLAKE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BRUE,146760,1,ST,34963,45692,ST3496345692,334963,145692,GB108052021260,0.4,33.200,29.0,237.0,04/10/2012,03/09/2007,13/10/2010,2,False
SOUTH WEST - NORTH WESSEX,PARRETT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOWY,146762,1,ST,40589,27761,ST4058927761,340589,127761,GB108052021150,0.5,28.500,124.0,217.0,04/10/2012,03/09/2007,03/09/2007,1,False
MIDLANDS - WEST,TERN (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KETLEY BROOK,184426,1,SJ,62398,14168,SJ6239814168,362398,314168,GB109054050100,3.0,5.000,170.0,,,01/07/2016,01/07/2016,1,False
ANGLIAN - NORTHERN,EAST LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WAITHE BECK,184445,1,TF,20314,94676,TF2031494676,520314,394676,GB104029062040,2.9,6.200,105.0,209.0,09/09/2019,04/07/2016,04/07/2016,1,False
THAMES - NORTH EAST,BEANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DANE END TRIBUTARY,202541,1,TL,33162,20107,TL3316220107,533162,220107,GB106038033310,,,,,,15/09/2021,15/09/2021,1,False
NORTH EAST - NORTH EAST,BROWNEY AND DEERNESS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BROWNEY,176505,1,NZ,26075,37971,NZ2607537971,426075,537971,GB103024077552,2.8,34.000,369.0,130.0,17/08/2017,01/08/2016,01/08/2016,1,False
MIDLANDS - WEST,WORFE (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WORFE,179405,1,SO,73400,95833,SO7340095833,373400,295833,GB109054050260,1.4,36.000,153.0,,,13/07/2015,13/07/2015,1,False
MIDLANDS - EAST,DERWENT (DERBYSHIRE),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MERCASTON BROOK,184527,1,SK,26770,43031,SK2677043031,426770,343031,GB104028052850,,,,,,03/08/2016,03/08/2016,1,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GADE,184612,1,TL,05104,08334,TL0510408334,505104,208334,GB106039029900,1.8,7.570,120.0,,,08/07/2016,28/07/2021,6,False
MIDLANDS - WEST,BORLE (US),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BORLE BROOK,51286,2,SO,73789,82066,SO7378982066,373789,282066,GB109054044670,1.4,17.400,210.0,207.1,01/01/1995,19/08/2004,17/08/2015,5,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GADE,185645,1,TL,05141,08844,TL0514108844,505141,208844,GB106039029900,3.6,7.040,120.0,,,21/09/2016,14/08/2018,3,False
ANGLIAN - NORTHERN,LOWER NENE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COUNTER DRAIN (PETERBOROUGH),185686,1,TL,27300,99400,TL2730099400,527300,299400,GB105032050382,,,,,,03/08/2016,03/08/2016,1,False
ANGLIAN - EASTERN,WAVENEY (1),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHICKERING BECK,176789,1,TM,20350,76030,TM2035076030,620350,276030,GB105034045690,,,48.0,,,01/09/2015,01/09/2015,1,False
NORTH EAST - YORKSHIRE,HUMBER,WBDY,DYKE: Natural or artificial watercourse primarily used for land drainage,ELLA DYKE,186129,1,TA,02972,45171,TA0297245171,502972,445171,GB104026066941,0.8,2.000,8.0,228.0,13/05/2019,16/08/2016,18/08/2021,2,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MISBOURNE,186225,1,SP,89800,00700,SP8980000700,489800,200700,GB106039029830,3.9,1.740,129.0,,,09/08/2016,10/06/2018,3,False
NORTH WEST - NORTH,EDEN (NW - NORTH),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EDEN (NW NORTH),93921,2,NY,77500,10400,NY7750010400,377500,510400,,,,,,,22/07/1996,22/07/1996,1,False
SOUTH WEST - SOUTH WESSEX,PIDDLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PIDDLE,167410,1,SY,74899,94945,SY7489994945,374899,094945,GB108044010120,3.5,10.900,130.0,239.5,01/01/2013,03/09/2013,03/09/2013,1,False
NORTH EAST - YORKSHIRE,DEARNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KNOLL BECK,165085,1,SE,40891,01885,SE4089101885,440891,401885,GB104027057470,5.8,6.900,106.0,193.0,31/01/2014,25/06/2013,25/06/2013,1,False
SOUTHERN - KENT & E. SUSSEX,BREDE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,PANNEL SEWER,166149,1,TQ,87455,15245,TQ8745515245,587455,115245,GB107040013390,,,,,,22/07/2013,22/07/2013,1,False
SOUTHERN - KENT & E. SUSSEX,LITTLE STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WINGHAM RIVER,155338,1,TR,28148,57943,TR2814857943,628148,157943,GB107040019570,0.3,2.500,13.0,,,18/06/2010,29/07/2015,2,False
SOUTHERN - KENT & E. SUSSEX,GREAT STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GREAT STOUR,155348,1,TR,04105,45020,TR0410545020,604105,145020,GB107040019741,0.8,27.800,110.0,205.0,04/10/2012,22/06/2010,22/06/2010,1,False
SOUTHERN - SOLENT & S. DOWNS,NEW FOREST,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OBER WATER,155360,1,SU,24964,03815,SU2496403815,424964,103815,GB107042011360,,,,,,23/06/2010,23/06/2010,1,False
MIDLANDS - EAST,TRENT (LOWER),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MILTON BROOK,167391,1,SK,32664,24839,SK3266424839,432664,324839,GB104028047360,16.6,2.300,115.0,198.0,20/01/2014,20/06/2013,16/08/2016,2,False
SOUTHERN - SOLENT & S. DOWNS,MEON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MEON,171625,1,SU,55659,08960,SU5565908960,455659,108960,GB107042016640,1.2,29.140,121.0,,,30/09/2014,30/09/2014,1,False
MIDLANDS - CENTRAL,TEAN (UT),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TEAN,172486,1,SJ,99223,43781,SJ9922343781,399223,343781,GB104028053090,,,,,,23/06/2014,23/06/2014,1,False
MIDLANDS - WEST,SEVERN (BELOW TEWKESBURY),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CANNOP BROOK,167190,1,SO,61907,05730,SO6190705730,361907,205730,GB109054032640,1.4,8.500,172.0,168.3,06/02/2014,05/09/2013,05/09/2013,1,False
ANGLIAN - EASTERN,CAN AND ROXWELL BROOK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAN,179125,1,TL,62815,11312,TL6281511312,562815,211312,GB105037033840,,,,,,25/06/2015,25/06/2015,1,False
MIDLANDS - EAST,RYTON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OWLANDS WOOD DYKE,167165,1,SK,59625,84584,SK5962584584,459625,384584,GB104028058170,5.0,5.200,53.0,275.2,07/01/2014,29/08/2013,21/07/2014,2,False
SOUTH WEST - NORTH WESSEX,BRISTOL AVON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RODBOURNE BROOK,167663,1,ST,95302,83536,ST9530283536,395302,183536,GB109053027720,2.8,11.400,115.0,250.1,16/01/2014,25/09/2013,25/09/2013,1,False
NORTH EAST - YORKSHIRE,HUMBER,WBDR,DRAIN: Natural or artificial watercourse primarily used for land drainage,GANSTEAD DRAIN,163820,1,TA,14752,33739,TA1475233739,514752,433739,GB104026066790,3.7,4.100,17.0,238.0,31/10/2013,11/07/2013,11/07/2013,1,False
MIDLANDS - WEST,AVON (BELOW BIDFORD) (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOURNE BROOK,167604,1,SO,90340,41673,SO9034041673,390340,241673,GB109054039420,0.5,8.900,30.0,267.8,04/03/2014,12/09/2013,16/08/2016,2,False
ANGLIAN - NORTHERN,NORTH LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THORNTON AND OWERSBY CATCHWATER (TRIB. OF ANCHOLME),161706,1,TF,05101,95843,TF0510195843,505101,395843,GB104029061900,3.6,6.900,28.0,189.0,06/02/2014,20/08/2013,20/08/2013,1,False
NORTH EAST - YORKSHIRE,URE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SKELL,162701,1,SE,29887,69938,SE2988769938,429887,469938,GB104027064130,7.4,19.700,398.0,144.2,28/10/2013,25/06/2013,25/06/2013,1,False
MIDLANDS - CENTRAL,SOWE (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SMITE BROOK,166063,1,SP,41973,80183,SP4197380183,441973,280183,GB109054044630,1.5,10.900,126.4,227.5,05/12/2013,13/08/2013,11/08/2016,2,False
MIDLANDS - EAST,SOAR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOAR,167545,1,SK,59153,14938,SK5915314938,459153,314938,GB104028047211,1.1,44.000,135.0,185.5,10/01/2014,28/07/2013,02/09/2016,2,False
NORTH WEST - NORTH,LEVEN (NW - NORTH),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ROTHAY,111654,2,NY,37051,04572,NY3705104572,337051,504572,GB112073071140,7.0,13.000,600.0,11.0,04/10/2012,05/09/2012,05/09/2012,1,False
MIDLANDS - WEST,BOW BROOK (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOW BROOK,167723,1,SO,94780,58812,SO9478058812,394780,258812,GB109054043711,1.3,18.500,145.0,243.6,11/02/2014,02/08/2013,01/07/2015,2,False
MIDLANDS - WEST,AVON (BELOW BIDFORD) (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ELMLEY CASTLE BROOK,167743,1,SO,98656,41333,SO9865641333,398656,241333,GB109054039390,18.8,2.000,185.0,220.5,11/02/2014,22/08/2013,22/08/2013,1,False
